uuid	hubmap_id	status	group_name	data_type	dataset_type	created_datetime	published_datetime	is_protected
5c81739be1de46b024ea6e513eac91bb	HBM425.NWSM.627	Published	Stanford TMC	['sn_atac_seq_multiome_10x']	Derived	2023-05-26 00:00:46.337	2023-08-02 09:15:38.600	False
6039edc6b019fb0974af0af7a25a4fb8	HBM329.SNLX.887	Published	Stanford TMC	['sn_atac_seq_multiome_10x']	Derived	2023-06-26 09:02:28.724	2023-08-02 09:15:36.915	False
9e2b9df20dcfe25e3bd0f1e2ff17a1a4	HBM222.QQZL.292	Published	Stanford TMC	['sn_atac_seq_multiome_10x']	Derived	2023-05-25 19:21:48.589	2023-08-02 09:15:35.192	False
2bc85fe4d464f504523c988316a9a97b	HBM494.VFWC.974	Published	Stanford TMC	['sn_atac_seq_multiome_10x']	Derived	2023-06-26 09:02:10.667	2023-08-02 09:15:33.576	False
be0e16b0080ca4df92f83bebb3a76ff3	HBM769.MJBW.855	Published	Stanford TMC	['sn_atac_seq_multiome_10x']	Derived	2023-05-25 15:27:48.263	2023-08-02 09:15:32.073	False
ba2d484335ff02ac478fe9ffdde3b966	HBM495.CJKS.463	Published	Stanford TMC	['sn_atac_seq_multiome_10x']	Derived	2023-06-26 09:00:52.356	2023-08-02 09:15:30.423	False
103716ec2a4589a66ab3b5675369e6f0	HBM486.FRDC.773	Published	Stanford TMC	['sn_atac_seq_multiome_10x']	Derived	2023-05-25 05:11:21.752	2023-08-02 09:15:28.798	False
bc8c0756a76ffcd899151ffe70e4ad3f	HBM287.TJHJ.587	Published	Stanford TMC	['sn_atac_seq_multiome_10x']	Derived	2023-05-25 04:29:52.088	2023-08-02 09:15:27.147	False
c262db191a00c028fa207eb31ca2d1c5	HBM946.CKWR.592	Published	Stanford TMC	['sn_atac_seq_multiome_10x']	Derived	2023-05-25 02:58:54.940	2023-08-02 09:15:25.427	False
21b17fea9992a4ca22f0674b9aca4477	HBM226.JTTZ.458	Published	Stanford TMC	['sn_atac_seq_multiome_10x']	Derived	2023-05-25 00:32:09.620	2023-08-02 09:15:23.720	False
96fcca4f787183cfe6587904e321305f	HBM653.CKFK.855	Published	Stanford TMC	['sn_atac_seq_multiome_10x']	Derived	2023-05-24 21:59:40.240	2023-08-02 09:15:22.044	False
ba77cfb7a50b1d7c2363c7f006323c71	HBM996.KJJG.745	Published	Stanford TMC	['sn_atac_seq_multiome_10x']	Derived	2023-05-24 11:28:52.398	2023-08-02 09:15:19.220	False
e1ef8ae73ec6cffdf4961135d565e732	HBM443.PWNF.335	Published	Stanford TMC	['sn_atac_seq_multiome_10x']	Derived	2023-05-24 11:28:44.028	2023-08-02 09:15:17.534	False
32e9f379f843998fe97033c9b3b6d256	HBM343.MNRJ.754	Published	Stanford TMC	['sn_atac_seq_multiome_10x']	Derived	2023-05-24 11:29:05.488	2023-08-02 09:15:16.023	False
